id,consent_id,analytics,marketing,created_at,ip_address,user_agent,page_url
17,mjq18fh6-gz2og57j,1,0,"29 décembre 2025 20:09 (UTC+1)",88.124.66.251,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML | like Gecko) Chrome/145.0.0.0 Safari/537.36",https://digitalblueskye.netlify.app/pages/privacy.html
16,mjq18fh6-gz2og57j,0,0,"29 décembre 2025 20:08 (UTC+1)",88.124.66.251,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML | like Gecko) Chrome/145.0.0.0 Safari/537.36",https://digitalblueskye.netlify.app/pages/privacy.html
15,mjq18fh6-gz2og57j,1,1,"29 décembre 2025 20:08 (UTC+1)",88.124.66.251,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML | like Gecko) Chrome/145.0.0.0 Safari/537.36",https://digitalblueskye.netlify.app/pages/privacy.html
